n,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3
1571,2608521.3,26085.213,2608.5212,2.6085212,2608521.3,26085.213,2608.5212,2.6085212,1.7397924E-04,1.3190119E-02,2.604141,2604.141
1581,2600913.8,26009.137,2600.9138,2.6009138,2600913.8,26009.137,2600.9138,2.6009138,2.0862627E-04,1.44439E-02,2.5968,2596.8
1591,2605923.3,26059.232,2605.923,2.6059232,2605923.3,26059.232,2605.923,2.6059232,2.2193092E-04,1.48973465E-02,2.601748,2601.748
1601,2753082.3,27530.822,2753.0823,2.7530823,2753082.3,27530.822,2753.0823,2.7530823,9.1568916E-05,9.569165E-03,2.751754,2751.7542
1611,2674267.0,26742.67,2674.267,2.674267,2674267.0,26742.67,2674.267,2.674267,1.2876147E-04,1.1347312E-02,2.673425,2673.425
1621,2785639.8,27856.398,2785.6396,2.7856398,2785639.8,27856.398,2785.6396,2.7856398,2.9280584E-03,5.4111537E-02,2.760431,2760.4312
1631,2809414.3,28094.14,2809.414,2.8094141,2809414.3,28094.14,2809.414,2.8094141,5.749729E-04,2.3978593E-02,2.804573,2804.573
1641,2810451.8,28104.518,2810.4517,2.8104517,2810451.8,28104.518,2810.4517,2.8104517,4.850224E-05,6.964355E-03,2.811122,2811.1218
1651,2917664.5,29176.645,2917.6646,2.9176645,2917664.5,29176.645,2917.6646,2.9176645,5.4824515E-05,7.4043577E-03,2.917815,2917.815
1661,2886336.0,28863.361,2886.3362,2.886336,2886336.0,28863.361,2886.3362,2.886336,2.9096223E-04,1.7057614E-02,2.880257,2880.2568
1671,2926873.0,29268.73,2926.873,2.926873,2926873.0,29268.73,2926.873,2.926873,5.074825E-04,2.2527372E-02,2.918623,2918.623
1681,2935223.5,29352.236,2935.2236,2.9352236,2935223.5,29352.236,2935.2236,2.9352236,6.3879765E-05,7.992482E-03,2.934324,2934.324
1691,2981341.3,29813.414,2981.3413,2.9813414,2981341.3,29813.414,2981.3413,2.9813414,9.76182E-05,9.880193E-03,2.980892,2980.8918
1701,3074677.0,30746.77,3074.677,3.074677,3074677.0,30746.77,3074.677,3.074677,5.771445E-04,2.4023833E-02,3.07203,3072.03
1711,3048028.0,30480.28,3048.028,3.048028,3048028.0,30480.28,3048.028,3.048028,9.6858545E-05,9.841674E-03,3.049615,3049.615
1721,3140621.8,31406.217,3140.6216,3.1406217,3140621.8,31406.217,3140.6216,3.1406217,1.1708344E-04,1.082051E-02,3.140744,3140.744
