n, each, mean, variance, stdDev, median,median1e6
1041,6.1893335E-04,6.1893335E-04,7.401864E-09,8.603409E-05,6.11E-04,611.0
1051,7.975333E-04,7.975333E-04,4.8882663E-07,6.991614E-04,6.46E-04,646.0
1061,7.1923324E-04,7.1923324E-04,1.4123712E-08,1.1884322E-04,6.88E-04,688.0
1071,5.297E-04,5.297E-04,4.8206092E-09,6.943061E-05,5.19E-04,519.0
1081,6.692666E-04,6.692666E-04,3.9480623E-09,6.2833606E-05,6.71E-04,671.0
1091,7.737667E-04,7.737667E-04,7.4139825E-07,8.6104486E-04,5.95E-04,595.0
1101,6.465668E-04,6.465668E-04,7.4972455E-09,8.658664E-05,6.31E-04,631.0
1111,6.248333E-04,6.248333E-04,5.314872E-09,7.290317E-05,6.16E-04,616.0
1121,6.5613334E-04,6.5613334E-04,5.119782E-09,7.1552655E-05,6.47E-04,647.0
1131,6.260667E-04,6.260667E-04,1.6438863E-08,1.2821413E-04,5.86E-04,586.0
1141,6.292334E-04,6.292334E-04,1.0199046E-08,1.0099033E-04,6.15E-04,615.0
1151,7.2979997E-04,7.2979997E-04,2.2609429E-08,1.5036431E-04,6.89E-04,689.0
1161,6.092667E-04,6.092667E-04,1.0517196E-08,1.0255338E-04,5.98E-04,598.0
1171,7.262666E-04,7.262666E-04,2.7417125E-08,1.6558118E-04,7.11E-04,711.0
1181,6.983334E-04,6.983334E-04,1.5037223E-08,1.2262636E-04,6.76E-04,676.0
1191,5.168666E-04,5.168666E-04,1.240258E-08,1.1136687E-04,5.08E-04,508.00003
1201,1.2313334E-03,1.2313334E-03,2.594589E-08,1.6107729E-04,1.205E-03,1205.0
1211,1.3318334E-03,1.3318334E-03,8.6824606E-08,2.9466016E-04,1.27E-03,1270.0
1221,1.2561E-03,1.2561E-03,1.0288289E-08,1.0143121E-04,1.229E-03,1229.0
1231,1.1506669E-03,1.1506669E-03,1.6554157E-08,1.2866296E-04,1.133E-03,1133.0
1241,1.3505E-03,1.3505E-03,7.639514E-07,8.7404315E-04,1.147E-03,1147.0
1251,1.6059333E-03,1.6059333E-03,7.903907E-07,8.890392E-04,1.42E-03,1420.0
1261,1.6716999E-03,1.6716999E-03,5.99787E-07,7.7445916E-04,1.51E-03,1510.0
1271,1.1774334E-03,1.1774334E-03,6.968261E-07,8.347611E-04,1E-03,1000.00006
1281,1.2371332E-03,1.2371332E-03,8.0785907E-07,8.988098E-04,1.082E-03,1082.0
1291,1.3877E-03,1.3877E-03,7.3243694E-07,8.558253E-04,1.233E-03,1233.0
1301,1.1556E-03,1.1556E-03,1.8170772E-08,1.34799E-04,1.128E-03,1128.0
1311,1.1873998E-03,1.1873998E-03,2.0022972E-08,1.4150255E-04,1.154E-03,1154.0
1321,1.2244E-03,1.2244E-03,7.958363E-07,8.9209655E-04,1.042E-03,1042.0
