n,eachLogEach,m,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3,medianEach1e3,medianEach1e6
449,5108.7266,2538.7358,1595.0889,15.950889,1.5950888,1.5950889E-03,797544.44,7975.4443,797.54443,0.7975444,2.3289134E-04,1.5260777E-02,0.795513,795.513,1.591026,1591.026
448,5065.7936,2533.0816,1583.2794,15.832794,1.5832795,1.5832795E-03,791639.75,7916.3975,791.6398,0.79163975,2.2881736E-04,1.512671E-02,0.790491,790.49097,1.580982,1580.982
447,5030.8842,2527.4274,1573.6692,15.736691,1.5736692,1.5736691E-03,786834.6,7868.346,786.8346,0.7868346,1.4462191E-04,1.2025885E-02,0.785737,785.737,1.571474,1571.4739
446,5031.8004,2521.7732,1573.9215,15.739215,1.5739216,1.5739215E-03,786960.75,7869.608,786.96075,0.7869608,1.8364491E-04,1.3551565E-02,0.78595,785.95,1.5719,1571.9
445,5027.6871,2516.119,1572.7887,15.727887,1.5727887,1.5727887E-03,786394.4,7863.9434,786.39435,0.78639436,1.373499E-04,1.1719638E-02,0.784745,784.745,1.56949,1569.49
444,5035.230,2510.4648,1574.866,15.74866,1.574866,1.574866E-03,787433.0,7874.33,787.43304,0.787433,2.3527334E-04,1.5338623E-02,0.785077,785.07697,1.570154,1570.1539
443,4992.6651,2504.8106,1563.1398,15.631397,1.5631397,1.5631397E-03,781569.8,7815.698,781.5698,0.78156984,1.6316079E-04,1.2773441E-02,0.777976,777.97595,1.555952,1555.952
442,4999.1602,2499.1564,1564.9298,15.649299,1.5649298,1.5649298E-03,782464.94,7824.6494,782.4649,0.7824649,2.1844478E-04,1.4779878E-02,0.779923,779.92303,1.559846,1559.846
441,4952.1178,2493.5022,1551.9597,15.519597,1.5519596,1.5519597E-03,775979.8,7759.7983,775.9798,0.7759798,1.424766E-04,1.1936356E-02,0.77727,777.27,1.55454,1554.54
440,4931.4122,2487.848,1546.2468,15.462468,1.5462468,1.5462468E-03,773123.4,7731.234,773.1234,0.7731234,2.4878196E-04,1.5772823E-02,0.770797,770.797,1.541594,1541.594
439,4943.358,2482.1938,1549.543,15.49543,1.549543,1.549543E-03,774771.5,7747.7153,774.7715,0.7747715,1.5269789E-04,1.2357099E-02,0.771962,771.962,1.543924,1543.924
438,4903.2391,2476.5396,1538.4695,15.384694,1.5384694,1.5384695E-03,769234.7,7692.347,769.23474,0.7692347,1.817863E-04,1.3482815E-02,0.766218,766.218,1.532436,1532.436
437,4902.470,2470.8854,1538.257,15.38257,1.538257,1.538257E-03,769128.5,7691.285,769.1285,0.7691285,2.0503513E-04,1.4319048E-02,0.765302,765.302,1.530604,1530.604
