n,each1e6,meanX1000, each, mean, variance, stdDev
2241,6.549061E+02,327.45305000,6.549061E-04,0.32745305,6.758575E-05,8.221055E-03
2251,6.954936E+02,347.7468000,6.954936E-04,0.3477468,5.782264E-05,7.60412E-03
2261,6.875274E+02,343.7637000,6.875274E-04,0.3437637,1.15802075E-04,1.0761137E-02
2271,6.460583E+02,323.02916000,6.460583E-04,0.32302916,5.0440245E-05,7.1021295E-03
2281,6.624257E+02,331.21285000,6.624257E-04,0.33121285,1.1333238E-04,1.0645769E-02
2291,6.9256715E+02,346.28358000,6.9256715E-04,0.34628358,7.9845355E-05,8.935623E-03
2301,6.830263E+02,341.51313000,6.830263E-04,0.34151313,7.858461E-05,8.864797E-03
2311,6.895587E+02,344.77934000,6.895587E-04,0.34477934,6.2975145E-05,7.935688E-03
2321,7.290213E+02,364.51066000,7.290213E-04,0.36451066,8.4354775E-05,9.184485E-03
2331,7.2723E+02,363.615000,7.2723E-04,0.363615,8.917678E-05,9.4433455E-03
2341,7.135094E+02,356.7547000,7.135094E-04,0.3567547,8.6687076E-05,9.310589E-03
2351,7.103607E+02,355.18035000,7.103607E-04,0.35518035,7.438413E-05,8.6246235E-03
2361,6.6853233E+02,334.26616000,6.6853233E-04,0.33426616,1.0217069E-04,1.0107952E-02
2371,7.5626315E+02,378.13157000,7.5626315E-04,0.37813157,7.673389E-05,8.759788E-03
2381,7.020846E+02,351.0423000,7.020846E-04,0.3510423,6.696492E-05,8.18321E-03
2391,7.071001E+02,353.55005000,7.071001E-04,0.35355005,1.08218905E-04,1.0402831E-02
2401,7.3252904E+02,366.26452000,7.3252904E-04,0.36626452,1.2093517E-04,1.0997052E-02
2411,6.682004E+02,334.1002000,6.682004E-04,0.3341002,7.0001995E-05,8.36672E-03
2421,7.6809135E+02,384.0457000,7.6809135E-04,0.3840457,1.8398563E-04,1.356413E-02
2431,7.1905326E+02,359.52663000,7.1905326E-04,0.35952663,5.566589E-05,7.460958E-03
2441,7.5725757E+02,378.6288000,7.5725757E-04,0.3786288,8.627264E-04,2.9372204E-02
2451,7.5954356E+02,379.77177000,7.5954356E-04,0.37977177,1.1275907E-04,1.0618808E-02
2461,7.820804E+02,391.0402000,7.820804E-04,0.3910402,9.036976E-05,9.506301E-03
2471,7.4214436E+02,371.07217000,7.4214436E-04,0.37107217,7.559119E-05,8.694319E-03
2481,8.1343955E+02,406.71977000,8.1343955E-04,0.40671977,2.9992123E-04,1.7318234E-02
2491,7.408077E+02,370.40383000,7.408077E-04,0.37040383,8.529394E-05,9.2354715E-03
2501,7.8686624E+02,393.43312000,7.8686624E-04,0.39343312,7.399243E-05,8.601885E-03
2511,7.780265E+02,389.01323000,7.780265E-04,0.38901323,8.046957E-05,8.970483E-03
2521,7.8860036E+02,394.3002000,7.8860036E-04,0.3943002,1.0943755E-04,1.046124E-02
2531,8.1925315E+02,409.62657000,8.1925315E-04,0.40962657,1.17127674E-04,1.0822554E-02
2541,7.87199E+02,393.5995000,7.87199E-04,0.3935995,8.760693E-05,9.359857E-03
2551,7.9529657E+02,397.64827000,7.9529657E-04,0.39764827,9.0458365E-05,9.51096E-03
2561,8.0293394E+02,401.46697000,8.0293394E-04,0.40146697,6.325517E-05,7.953311E-03
2571,7.707549E+02,385.37744000,7.707549E-04,0.38537744,7.790416E-05,8.826333E-03
2581,7.9915946E+02,399.57973000,7.9915946E-04,0.39957973,1.07005755E-04,1.0344358E-02
2591,7.6253404E+02,381.267000,7.6253404E-04,0.381267,1.0007039E-04,1.0003519E-02
2601,8.3396793E+02,416.98396000,8.3396793E-04,0.41698396,1.1381732E-04,1.066852E-02
2611,8.1409875E+02,407.0494000,8.1409875E-04,0.4070494,6.9593516E-05,8.342273E-03
2621,8.1863074E+02,409.31538000,8.1863074E-04,0.40931538,1.3057767E-04,1.1427059E-02
2631,7.7902497E+02,389.51248000,7.7902497E-04,0.38951248,1.13836286E-04,1.0669409E-02
2641,7.8725076E+02,393.62538000,7.8725076E-04,0.39362538,1.01986916E-04,1.0098857E-02
2651,8.853548E+02,442.6774000,8.853548E-04,0.4426774,1.0671838E-04,1.0330459E-02
2661,8.299461E+02,414.97305000,8.299461E-04,0.41497305,8.268996E-05,9.093402E-03
2671,7.7025685E+02,385.12844000,7.7025685E-04,0.38512844,1.2407135E-04,1.1138732E-02
2681,8.55456E+02,427.728000,8.55456E-04,0.427728,1.7266886E-04,1.3140352E-02
2691,8.8115036E+02,440.57518000,8.8115036E-04,0.44057518,1.15738716E-04,1.0758193E-02
2701,8.4132265E+02,420.66133000,8.4132265E-04,0.42066133,1.1272227E-04,1.0617075E-02
2711,8.895247E+02,444.76235000,8.895247E-04,0.44476235,2.6494384E-04,1.6277095E-02
2721,8.122323E+02,406.11616000,8.122323E-04,0.40611616,5.8907634E-05,7.675131E-03
2731,9.0164744E+02,450.82372000,9.0164744E-04,0.45082372,1.1474535E-04,1.0711926E-02
2741,8.821638E+02,441.0819000,8.821638E-04,0.4410819,8.289725E-05,9.104793E-03
2751,8.858935E+02,442.94673000,8.858935E-04,0.44294673,7.827422E-05,8.847272E-03
2761,8.5495075E+02,427.47536000,8.5495075E-04,0.42747536,6.280716E-05,7.925097E-03
2771,9.360122E+02,468.0061000,9.360122E-04,0.4680061,1.0071459E-04,1.0035666E-02
2781,9.39737E+02,469.8685000,9.39737E-04,0.4698685,1.4171425E-04,1.1904379E-02
2791,9.300114E+02,465.0057000,9.300114E-04,0.4650057,7.01804E-05,8.377374E-03
2801,9.1671356E+02,458.35677000,9.1671356E-04,0.45835677,7.573829E-05,8.7027745E-03
2811,9.2524564E+02,462.62282000,9.2524564E-04,0.46262282,9.400213E-05,9.695469E-03
2821,9.398814E+02,469.94072000,9.398814E-04,0.46994072,4.8058788E-05,6.9324444E-03
2831,8.5866515E+02,429.33258000,8.5866515E-04,0.42933258,7.628463E-05,8.734107E-03
2841,9.184698E+02,459.2349000,9.184698E-04,0.4592349,8.926909E-05,9.448232E-03
2851,8.764166E+02,438.2083000,8.764166E-04,0.4382083,8.761138E-05,9.360095E-03
2861,8.8684534E+02,443.42268000,8.8684534E-04,0.44342268,8.257079E-05,9.086847E-03
2871,9.485725E+02,474.28623000,9.485725E-04,0.47428623,1.0244703E-04,1.0121612E-02
2881,9.03956E+02,451.978000,9.03956E-04,0.451978,1.14616145E-04,1.0705893E-02
2891,9.420415E+02,471.02076000,9.420415E-04,0.47102076,6.0677754E-05,7.7895927E-03
2901,8.6892163E+02,434.46082000,8.6892163E-04,0.43446082,1.3270146E-04,1.1519612E-02
2911,9.506076E+02,475.3038000,9.506076E-04,0.4753038,3.8830283E-05,6.231395E-03
2921,9.525067E+02,476.25336000,9.525067E-04,0.47625336,7.2902587E-04,2.700048E-02
2931,8.815723E+02,440.78615000,8.815723E-04,0.44078615,1.14955146E-04,1.0721714E-02
2941,9.721281E+02,486.06408000,9.721281E-04,0.48606408,1.4227653E-04,1.1927973E-02
2951,9.5290726E+02,476.45363000,9.5290726E-04,0.47645363,1.1289798E-04,1.0625346E-02
2961,9.738561E+02,486.92805000,9.738561E-04,0.48692805,1.10071975E-04,1.0491519E-02
2971,9.602552E+02,480.1276000,9.602552E-04,0.4801276,1.0200043E-04,1.00995265E-02
2981,9.3007827E+02,465.03913000,9.3007827E-04,0.46503913,6.7822766E-05,8.235458E-03
2991,9.504396E+02,475.2198000,9.504396E-04,0.4752198,5.927128E-05,7.698784E-03
3001,1.0584169E+03,529.2085000,1.0584169E-03,0.5292085,8.929727E-05,9.449723E-03
3011,9.7230554E+02,486.15277000,9.7230554E-04,0.48615277,7.8577694E-05,8.864406E-03
