n,each1e6,each,mean, meanOriginal, variance, stdDev
2661,1577.964,0.001578,1577.964000,1.577964,1.0947436E-03,3.308691E-02
2671,1555.186,0.0015552,1555.1859000,1.5551859,9.065161E-04,3.0108405E-02
2681,1545.599,0.0015456,1545.5989000,1.5455989,4.8048343E-03,6.931691E-02
2691,1595.589,0.0015956,1595.5887000,1.5955887,1.0022831E-03,3.1658854E-02
2701,1570.385,0.0015704,1570.3853000,1.5703853,1.0920156E-03,3.304566E-02
2711,1604.579,0.0016046,1604.5793000,1.6045793,1.0801692E-03,3.2865927E-02
2721,1586.053,0.0015861,1586.0525000,1.5860525,1.0069979E-03,3.173323E-02
2731,1572.493,0.001572,1572.493000,1.572493,9.311132E-04,3.0514147E-02
2741,1603.986,0.0016040,1603.9863000,1.6039863,1.9046848E-03,4.3642696E-02
2751,1631.127,0.0016311,1631.1268000,1.6311268,1.2037529E-03,3.469514E-02
2761,1613.461,0.0016135,1613.4608000,1.6134608,1.0532151E-03,3.2453276E-02
2771,1651.119,0.0016511,1651.1194000,1.6511194,1.4005865E-03,3.742441E-02
2781,1628.854,0.001629,1628.854000,1.628854,8.863835E-04,2.9772194E-02
2791,1635.162,0.0016352,1635.1621000,1.6351621,8.738945E-04,2.9561706E-02
2801,1684.342,0.0016843,1684.3419000,1.6843419,1.6558234E-03,4.069181E-02
2811,1653.232,0.0016532,1653.2319000,1.6532319,6.0764415E-04,2.465044E-02
2821,1677.597,0.0016776,1677.5972000,1.6775972,8.781314E-04,2.9633282E-02
2831,1682.938,0.0016829,1682.9377000,1.6829377,5.201234E-04,2.2806214E-02
2841,1685.315,0.001685,1685.315000,1.685315,8.7166985E-04,2.9524056E-02
2851,1679.450,0.0016794,1679.4496000,1.6794496,5.448823E-04,2.3342714E-02
2861,1712.662,0.0017127,1712.6615000,1.7126615,2.1354832E-02,0.14613293
2871,1728.430,0.0017284,1728.4304000,1.7284304,7.875445E-04,2.8063223E-02
2881,1687.154,0.0016872,1687.1536000,1.6871536,9.071427E-04,3.011881E-02
2891,1682.695,0.0016827,1682.6952000,1.6826952,7.902981E-04,2.8112242E-02
2901,1735.613,0.0017356,1735.6125000,1.7356125,6.6503254E-04,2.5788225E-02
2911,1657.879,0.0016579,1657.8785000,1.6578785,6.3897215E-04,2.5277898E-02
2921,1761.629,0.0017616,1761.6285000,1.7616285,1.361545E-03,3.689912E-02
2931,1735.642,0.0017356,1735.6417000,1.7356417,6.551046E-04,2.5595011E-02
2941,1779.047,0.0017790,1779.0468000,1.7790468,6.909724E-04,2.6286354E-02
2951,1750.279,0.0017503,1750.2792000,1.7502792,9.1737724E-04,3.0288236E-02
2961,1799.521,0.0017995,1799.5212000,1.7995212,8.734458E-04,2.9554117E-02
2971,1779.170,0.0017792,1779.1699000,1.7791699,2.0550296E-03,4.5332436E-02
2981,1774.303,0.0017743,1774.3032000,1.7743032,8.2028843E-04,2.8640678E-02
2991,1771.662,0.001772,1771.662000,1.771662,7.2609086E-04,2.6946073E-02
3001,1779.315,0.0017793,1779.3152000,1.7793152,7.6601305E-04,2.767694E-02
3011,1766.247,0.0017662,1766.2474000,1.7662474,4.6648693E-04,2.159831E-02
